timestamp,ap_id,mac,identity,rssi
2025-06-12 05:29:36,AP-LOUNGE-01,AA:BB:00:00:00:09,PRINTER-LOUNGE-01,-35
2025-06-12 05:29:51,AP-ARRIVALS-01,AA:BB:00:00:00:10,svc-infodesk@airport-systems.com,-67
2025-06-12 05:29:57,AP-FOOD-01,AA:BB:00:00:00:05,DISPLAY-FOOD-COURT-01,-61
2025-06-12 05:30:05,AP-SECURITY-01,AA:BB:00:00:00:03,PRINTER-SECURITY-01,-40
2025-06-12 05:30:06,AP-CHECKIN-02,AA:BB:00:00:00:02,svc-kiosk-02@airport-systems.com,-68
2025-06-12 05:30:08,AP-CHECKIN-01,AA:BB:00:00:00:01,svc-kiosk-01@airport-systems.com,-74
2025-06-12 05:30:15,AP-BAGGAGE-01,AA:BB:00:00:00:08,svc-baggage@airport-systems.com,-61
2025-06-12 05:30:23,AP-GATE-B1,AA:BB:00:00:00:07,CAMERA-GATE-B1,-67
2025-06-12 05:30:25,AP-GATE-A1,AA:BB:00:00:00:06,CAMERA-GATE-A1,-42
2025-06-12 05:30:27,AP-SECURITY-02,AA:BB:00:00:00:04,svc-scanner@airport-systems.com,-65
2025-06-12 05:33:18,AP-BAGGAGE-01,AA:BB:00:00:00:08,svc-baggage@airport-systems.com,-73
2025-06-12 05:33:48,AP-LOUNGE-01,AA:BB:00:00:00:09,PRINTER-LOUNGE-01,-58
2025-06-12 05:35:36,AP-FOOD-01,AA:BB:00:00:00:05,DISPLAY-FOOD-COURT-01,-48
2025-06-12 05:35:54,AP-GATE-B1,AA:BB:00:00:00:07,CAMERA-GATE-B1,-53
2025-06-12 05:35:55,AP-ARRIVALS-01,AA:BB:00:00:00:10,svc-infodesk@airport-systems.com,-35
2025-06-12 05:36:14,AP-SECURITY-01,AA:BB:00:00:00:03,PRINTER-SECURITY-01,-49
2025-06-12 05:36:16,AP-GATE-A1,AA:BB:00:00:00:06,CAMERA-GATE-A1,-46
2025-06-12 05:36:19,AP-CHECKIN-02,AA:BB:00:00:00:02,svc-kiosk-02@airport-systems.com,-56
2025-06-12 05:36:20,AP-CHECKIN-01,AA:BB:00:00:00:01,svc-kiosk-01@airport-systems.com,-67
2025-06-12 05:38:23,AP-SECURITY-02,AA:BB:00:00:00:04,svc-scanner@airport-systems.com,-55
2025-06-12 05:38:54,AP-CHECKIN-02,AA:BB:00:00:00:02,svc-kiosk-02@airport-systems.com,-56
2025-06-12 05:39:31,AP-LOUNGE-01,AA:BB:00:00:00:09,PRINTER-LOUNGE-01,-60
2025-06-12 05:39:41,AP-BAGGAGE-01,AA:BB:00:00:00:08,svc-baggage@airport-systems.com,-52
2025-06-12 05:39:42,AP-FOOD-01,AA:BB:00:00:00:05,DISPLAY-FOOD-COURT-01,-51
2025-06-12 05:41:20,AP-SECURITY-01,AA:BB:00:00:00:03,PRINTER-SECURITY-01,-48
2025-06-12 05:41:39,AP-SECURITY-02,AA:BB:00:00:00:04,svc-scanner@airport-systems.com,-43
2025-06-12 05:41:39,AP-LOUNGE-01,AA:BB:00:00:00:09,PRINTER-LOUNGE-01,-45
2025-06-12 05:41:59,AP-GATE-B1,AA:BB:00:00:00:07,CAMERA-GATE-B1,-50
2025-06-12 05:42:01,AP-ARRIVALS-01,AA:BB:00:00:00:10,svc-infodesk@airport-systems.com,-36
2025-06-12 05:43:19,AP-GATE-A1,AA:BB:00:00:00:06,CAMERA-GATE-A1,-69
2025-06-12 05:43:22,AP-CHECKIN-01,AA:BB:00:00:00:01,svc-kiosk-01@airport-systems.com,-41
2025-06-12 05:43:22,AP-FOOD-01,AA:BB:00:00:00:05,DISPLAY-FOOD-COURT-01,-60
2025-06-12 05:44:31,AP-GATE-B1,AA:BB:00:00:00:07,CAMERA-GATE-B1,-67
2025-06-12 05:45:28,AP-BAGGAGE-01,AA:BB:00:00:00:08,svc-baggage@airport-systems.com,-73
2025-06-12 05:45:36,AP-CHECKIN-02,AA:BB:00:00:00:02,svc-kiosk-02@airport-systems.com,-51
2025-06-12 05:45:46,AP-ARRIVALS-01,AA:BB:00:00:00:10,svc-infodesk@airport-systems.com,-63
2025-06-12 05:46:39,AP-CHECKIN-01,AA:BB:00:00:00:01,svc-kiosk-01@airport-systems.com,-74
2025-06-12 05:47:24,AP-LOUNGE-01,AA:BB:00:00:00:09,PRINTER-LOUNGE-01,-70
2025-06-12 05:47:37,AP-GATE-B1,AA:BB:00:00:00:07,CAMERA-GATE-B1,-43
2025-06-12 05:47:45,AP-SECURITY-02,AA:BB:00:00:00:04,svc-scanner@airport-systems.com,-44
2025-06-12 05:47:49,AP-ARRIVALS-01,AA:BB:00:00:00:10,svc-infodesk@airport-systems.com,-35
2025-06-12 05:48:57,AP-BAGGAGE-01,AA:BB:00:00:00:08,svc-baggage@airport-systems.com,-69
2025-06-12 05:49:06,AP-FOOD-01,AA:BB:00:00:00:05,DISPLAY-FOOD-COURT-01,-66
2025-06-12 05:49:06,AP-SECURITY-01,AA:BB:00:00:00:03,PRINTER-SECURITY-01,-57
2025-06-12 05:49:07,AP-GATE-A1,AA:BB:00:00:00:06,CAMERA-GATE-A1,-50
2025-06-12 05:49:35,AP-CHECKIN-01,AA:BB:00:00:00:01,svc-kiosk-01@airport-systems.com,-37
2025-06-12 05:51:01,AP-CHECKIN-02,AA:BB:00:00:00:02,svc-kiosk-02@airport-systems.com,-71
2025-06-12 05:51:12,AP-GATE-B1,AA:BB:00:00:00:07,CAMERA-GATE-B1,-73
2025-06-12 05:51:39,AP-LOUNGE-01,AA:BB:00:00:00:09,PRINTER-LOUNGE-01,-36
2025-06-12 05:51:45,AP-SECURITY-02,AA:BB:00:00:00:04,svc-scanner@airport-systems.com,-43
2025-06-12 05:52:06,AP-CHECKIN-01,AA:BB:00:00:00:01,svc-kiosk-01@airport-systems.com,-41
2025-06-12 05:52:37,AP-GATE-A1,AA:BB:00:00:00:06,CAMERA-GATE-A1,-48
2025-06-12 05:54:34,AP-FOOD-01,AA:BB:00:00:00:05,DISPLAY-FOOD-COURT-01,-66
2025-06-12 05:54:49,AP-SECURITY-01,AA:BB:00:00:00:03,PRINTER-SECURITY-01,-39
2025-06-12 05:55:16,AP-ARRIVALS-01,AA:BB:00:00:00:10,svc-infodesk@airport-systems.com,-62
2025-06-12 05:55:31,AP-BAGGAGE-01,AA:BB:00:00:00:08,svc-baggage@airport-systems.com,-58
2025-06-12 05:56:21,AP-GATE-B1,AA:BB:00:00:00:07,CAMERA-GATE-B1,-41
2025-06-12 05:56:31,AP-SECURITY-02,AA:BB:00:00:00:04,svc-scanner@airport-systems.com,-38
2025-06-12 05:57:06,AP-CHECKIN-01,AA:BB:00:00:00:01,svc-kiosk-01@airport-systems.com,-58
2025-06-12 05:57:17,AP-LOUNGE-01,AA:BB:00:00:00:09,PRINTER-LOUNGE-01,-35
2025-06-12 05:57:38,AP-CHECKIN-02,AA:BB:00:00:00:02,svc-kiosk-02@airport-systems.com,-60
2025-06-12 05:58:12,AP-GATE-A1,AA:BB:00:00:00:06,CAMERA-GATE-A1,-57
2025-06-12 05:59:40,AP-SECURITY-01,AA:BB:00:00:00:03,PRINTER-SECURITY-01,-45
2025-06-12 06:00:17,AP-LOUNGE-01,AA:BB:00:00:00:09,PRINTER-LOUNGE-01,-66
2025-06-12 06:00:23,AP-SECURITY-02,AA:BB:00:00:00:04,svc-scanner@airport-systems.com,-44
2025-06-12 06:00:54,AP-FOOD-01,AA:BB:00:00:00:05,DISPLAY-FOOD-COURT-01,-69
2025-06-12 06:01:42,AP-CHECKIN-02,AA:BB:00:00:00:02,svc-kiosk-02@airport-systems.com,-37
2025-06-12 06:02:08,AP-GATE-A1,AA:BB:00:00:00:06,CAMERA-GATE-A1,-50
2025-06-12 06:02:13,AP-BAGGAGE-01,AA:BB:00:00:00:08,svc-baggage@airport-systems.com,-41
2025-06-12 06:02:40,AP-GATE-B1,AA:BB:00:00:00:07,CAMERA-GATE-B1,-72
2025-06-12 06:03:00,AP-SECURITY-01,AA:BB:00:00:00:03,PRINTER-SECURITY-01,-40
2025-06-12 06:03:10,AP-CHECKIN-01,AA:BB:00:00:00:01,svc-kiosk-01@airport-systems.com,-65
2025-06-12 06:03:16,AP-ARRIVALS-01,AA:BB:00:00:00:10,svc-infodesk@airport-systems.com,-49
2025-06-12 06:05:15,AP-FOOD-01,AA:BB:00:00:00:05,DISPLAY-FOOD-COURT-01,-47
2025-06-12 06:06:12,AP-ARRIVALS-01,AA:BB:00:00:00:10,svc-infodesk@airport-systems.com,-35
2025-06-12 06:07:04,AP-SECURITY-02,AA:BB:00:00:00:04,svc-scanner@airport-systems.com,-45
2025-06-12 06:07:23,AP-LOUNGE-01,AA:BB:00:00:00:09,PRINTER-LOUNGE-01,-67
2025-06-12 06:07:49,AP-BAGGAGE-01,AA:BB:00:00:00:08,svc-baggage@airport-systems.com,-51
2025-06-12 06:08:22,AP-SECURITY-01,AA:BB:00:00:00:03,PRINTER-SECURITY-01,-39
2025-06-12 06:09:06,AP-GATE-A1,AA:BB:00:00:00:06,CAMERA-GATE-A1,-55
2025-06-12 06:09:17,AP-GATE-B1,AA:BB:00:00:00:07,CAMERA-GATE-B1,-74
2025-06-12 06:09:19,AP-CHECKIN-02,AA:BB:00:00:00:02,svc-kiosk-02@airport-systems.com,-39
2025-06-12 06:09:20,AP-CHECKIN-01,AA:BB:00:00:00:01,svc-kiosk-01@airport-systems.com,-66
2025-06-12 06:09:35,AP-FOOD-01,AA:BB:00:00:00:05,DISPLAY-FOOD-COURT-01,-67
2025-06-12 06:10:30,AP-SECURITY-02,AA:BB:00:00:00:04,svc-scanner@airport-systems.com,-69
2025-06-12 06:10:32,AP-ARRIVALS-01,AA:BB:00:00:00:10,svc-infodesk@airport-systems.com,-57
2025-06-12 06:11:45,AP-GATE-B1,AA:BB:00:00:00:07,CAMERA-GATE-B1,-47
2025-06-12 06:12:21,AP-SECURITY-01,AA:BB:00:00:00:03,PRINTER-SECURITY-01,-40
2025-06-12 06:12:27,AP-LOUNGE-01,AA:BB:00:00:00:09,PRINTER-LOUNGE-01,-40
2025-06-12 06:12:53,AP-FOOD-01,AA:BB:00:00:00:05,DISPLAY-FOOD-COURT-01,-40
2025-06-12 06:12:57,AP-BAGGAGE-01,AA:BB:00:00:00:08,svc-baggage@airport-systems.com,-71
2025-06-12 06:13:50,AP-GATE-A1,AA:BB:00:00:00:06,CAMERA-GATE-A1,-63
2025-06-12 06:13:56,AP-CHECKIN-01,AA:BB:00:00:00:01,svc-kiosk-01@airport-systems.com,-69
2025-06-12 06:13:57,AP-ARRIVALS-01,AA:BB:00:00:00:10,svc-infodesk@airport-systems.com,-56
2025-06-12 06:15:55,AP-CHECKIN-02,AA:BB:00:00:00:02,svc-kiosk-02@airport-systems.com,-48
2025-06-12 06:16:26,AP-SECURITY-02,AA:BB:00:00:00:04,svc-scanner@airport-systems.com,-52
2025-06-12 06:16:36,AP-CHECKIN-01,AA:BB:00:00:00:01,svc-kiosk-01@airport-systems.com,-53
2025-06-12 06:16:45,AP-GATE-B1,AA:BB:00:00:00:07,CAMERA-GATE-B1,-45
